subject,gamma2,gamma,alpha,tau,w_prim,w_bound1,w_bound2,log_like,k,n
100,0.0,1.0,0.9937408406415381,0.017177578288453774,0.0004611361394803212,0.003476406341895291,1.0,-23.860782137102106,6,42
101,0.0,0.9915215325786441,0.6766128152671104,0.8434933793711495,0.9691515690213999,0.7347152673414284,0.0,-24.935172113226017,6,42
102,0.0,0.0,0.017044086688499802,0.06332402560916535,1.0,0.0,0.0,-20.452548925203182,6,42
103,0.0,0.008166311041072016,0.9792873957266652,0.002656467744799329,0.9037645397307781,0.01674714577455716,0.7318541112454584,-22.456161864938384,6,42
104,0.0,0.0,0.9960891940503973,0.09235055928497062,1.0,0.06435977361086877,0.0,-26.169324339795054,6,42
105,0.0,0.9589026217881169,0.10286936560690994,0.0010266249757110528,0.001968871617701046,0.7588431101569578,0.6967042870582284,-18.112315117442098,6,42
106,0.0,0.6042308580329087,0.15379647995013337,0.00022755849601771645,0.0015974330761714432,0.0,0.7630924997056878,-21.11210536440823,6,42
107,0.0,0.2197125098493194,0.2703046849923026,0.5401697319660759,0.29954212380072615,0.9101397951236407,0.8095556980207698,-28.408444389233637,6,42
108,0.0,1.0,0.9061258471425593,1.2104351227979062,0.3471390985169769,0.0,0.0,-27.54692693286238,6,42
109,0.0,0.861412748299759,0.035072804921719096,0.08769876674317634,0.5628591387414564,0.9384460283187265,0.12354167736808924,-20.105130125711078,6,42
110,0.0,1.0,0.9204640632098257,0.7540673776950475,0.8364056956093899,0.08739875604745512,0.47595355085546026,-23.647830048889134,6,42
111,0.0,1.0,0.004199644040068137,0.017539664098293505,0.11047027266317924,0.7896966740661673,0.8617519472699829,-27.624863255795546,6,42
112,0.0,0.09278000558090553,1.0,0.002249080117423719,0.0016536923923922316,0.9999481368452353,0.6387371881783003,-27.070580460379922,6,42
113,0.0,0.9970627536492499,0.4469078402670177,0.2675179144733923,0.8648864977168073,0.0,0.05094575353890636,-23.55540200917564,6,42
114,0.0,0.9222247795761171,0.7540977941622642,3.109631250759526,1.0,0.0,0.0,-29.032771201524913,6,42
115,0.0,0.9335121352789543,0.9967029858212583,0.9898397452016469,1.0,0.0,0.0,-26.268225267499417,6,42
116,0.0,0.00940124047415876,0.8292448556146573,0.030729667477496312,0.9892787082375811,0.017451347101376708,0.08332587395964729,-24.784226016649782,6,42
117,0.0,0.027552518150638538,0.13581122843759508,0.007400675632992632,0.0,0.026868730913657667,1.0,-27.508155269452402,6,42
119,0.0,1.0,0.008417473277434723,0.005656233636369729,0.047408534654278814,0.12674746580680207,0.8421568476195569,-21.513889110621193,6,42
120,0.0,1.0,0.2272031255521711,0.5970939772289554,1.0,0.0,0.15313502571839938,-26.85946372991695,6,42
121,0.0,0.5832178734064329,0.03674156095002736,0.0001644723403311581,0.0006085771829647333,0.0,0.9428622604638616,-23.003596399349675,6,42
122,0.0,0.06593066590279663,0.6775634691761102,3.785658521496394e-05,0.0006455205238451489,8.027237936431394e-05,0.8164059907778505,-18.92137745396636,6,42
123,0.0,0.9197806920051265,1.0,1.3672212393454117,0.3481463157754842,0.9980344898773874,0.0,-28.716519905401423,6,42
124,0.0,0.06274258214859063,0.005242725060184417,0.1780748219960282,0.878477226183785,0.24128123194399442,0.15285037881619123,-27.2637899784486,6,42
125,0.0,0.9820382212904561,0.6764824421183496,0.1934565293491457,0.17699861419713367,0.0,1.0,-25.901193139079858,6,42
126,0.0,0.8991345566939102,1.0,2.9869817241936776,1.0,0.9707296496266381,0.0,-28.722134277535062,6,42
127,0.0,1.0,0.14075612805743734,0.3635575649126822,0.339057701870701,0.271217991647153,1.0,-26.98110398547404,6,42
128,0.0,0.48221969531050357,0.015530859868430514,0.03637813677304351,0.06360658914022216,0.0,0.9999947992519709,-28.490851211907188,6,42
129,0.0,0.0,1.0,0.05524377362857275,0.0,1.0,0.5563563439793761,-27.725887249915395,6,42
130,0.0,0.9695138724490489,0.017091491138101936,0.011866355606551178,0.10057163966018123,0.0,0.8182379621176091,-17.92774435612172,6,42
131,0.0,0.879737443312456,0.06911641553091732,0.05005561718578309,0.06220308391588253,0.9999996826076566,0.20890049621756537,-26.216194126140778,6,42
132,0.0,0.4248647482943843,0.11757311716128117,0.050529182871378114,0.4215030221458065,0.0,0.9857004894885637,-24.992379866724526,6,42
133,0.0,1.0,0.02397390740781365,0.054397825470319246,0.16700450920046064,0.9999999607779338,0.3796550911024031,-24.58651029115544,6,42
135,0.0,0.7909194830359731,0.16872741306465489,0.011194236418902825,0.10005861847140018,0.867880669798975,0.056396209116975404,-17.545869967790875,6,42
136,0.0,0.0,0.27492588180036154,0.44771637219015,0.0,0.9998590034786761,0.0,-28.989333689642454,6,42
137,0.0,0.9892130806100261,0.9312177493865453,5.082875168750244,0.7984556141390735,0.797173217914449,0.4627699031300219,-28.470619469782005,6,42
138,0.0,0.9984867832588186,0.9769485340584602,3.5816941818334573,0.7309656010498542,0.0,0.0,-27.220649791668308,6,42
