subject,gamma2,gamma,alpha,tau,w,log_like,k,n
100,0.0,1.0,1.0,8.56191858651465,0.44121525957173546,-27.87991195362546,4,42
101,0.0,0.992612294477284,0.7267673879825998,0.6440204340600991,0.5753296425759187,-25.32431066999297,4,42
102,0.0,0.9160007520067696,0.013471207693243906,0.09530630989227193,0.9260663596414775,-21.002740784677442,4,42
103,0.0,0.006468221059597878,0.9416583700647894,0.05587629172298403,0.9734766726961444,-24.474366771003766,4,42
104,0.0,0.0,1.0,0.36285954471004556,0.6501570412016071,-27.130965547616924,4,42
105,0.0,1.0,0.13356760395979558,0.3325116698763876,0.8638251495281575,-23.354277409306547,4,42
106,0.0,0.8295767141847611,0.33355307136103624,0.17206882357632522,0.7871506847716397,-25.427030676225574,4,42
107,0.0,1.0,0.11957111681703278,1.873933053748953,0.9020898870677948,-28.828185510646605,4,42
108,0.0,0.989742835951103,0.592915072699498,2.7747984095539526,0.9625861076082458,-28.590902957987385,4,42
109,0.0,0.6560501642711157,0.032132139812489594,0.06709475890035131,0.576238588742371,-20.33257330291799,4,42
110,0.0,1.0,0.9285067029099289,1.2775167316108134,0.8795441992616158,-24.718617188384624,4,42
111,0.0,1.0,0.8150492627560842,4.82896088721523,0.8070040503286072,-28.582660027472976,4,42
112,0.0,0.0,1.0,0.4656455732286497,0.6455221117204116,-28.148457798409034,4,42
113,0.0,1.0,0.21389421096329683,0.26895061827154626,0.7350110349999465,-25.31977578182465,4,42
114,0.0,0.5677806146078094,0.32283849805807663,4.951594687770482,0.0,-29.11218158351767,4,42
115,0.0,0.0,0.7683175854764238,0.7966635188253397,0.9999550048687397,-28.334008395058483,4,42
116,0.0,0.00379799834507155,0.45580617955155356,0.1842322662551614,0.8926682362324257,-25.80458377143757,4,42
117,0.0,0.0,0.7249706876138577,0.5860269747209199,0.3020333660171609,-29.010945401926566,4,42
119,0.0,1.0,0.12338577058497843,0.13877271617799544,0.40326970375216276,-23.226140961182402,4,42
120,0.0,1.0,0.9787906322014078,4.9191806610175455,0.9999705751757705,-27.06574724989024,4,42
121,0.0,0.6999394376845808,0.03782726272723975,0.2430118346520961,0.8547450521139359,-26.686745116643017,4,42
122,0.0,0.252330052625456,0.8219652014057997,0.048200446917343535,0.3589193698053047,-23.708780162233044,4,42
123,0.0,0.8857436241368543,1.0,3.0061314242856167,1.0,-28.78377569784729,4,42
124,0.0,1.0,8.353739906266853e-08,1.3010432321965091e-06,0.9999999977772344,-25.20817148415872,4,42
125,0.0,1.0,0.5409174695443363,2.4295951142957137,1.0,-27.981621494269255,4,42
126,0.0,0.9272759870731228,1.0,4.374888825006816,1.0,-28.77729801294424,4,42
127,0.0,0.9993060119928221,0.18561079151781149,1.0604202974145822,0.999861171181619,-27.199662875900852,4,42
128,0.0,1.0,0.8456189772878929,3.804975048477789,0.9999999047703707,-28.637916249496623,4,42
129,0.0,0.0,1.0,0.2518357630123511,0.2766698540742142,-28.588933439753127,4,42
130,0.0,1.0,0.02032363987558894,0.15705266909597337,0.9128022565023309,-21.72438988158278,4,42
131,0.0,0.6651726359348894,0.07852372324897217,0.19120482933030947,0.509084306530955,-27.644988329151342,4,42
132,0.0,0.9683106471216593,0.775607673290627,1.1172540842135947,0.8966418765051226,-27.747192584155375,4,42
133,0.0,1.0,0.1375016168486574,0.3756319113470404,0.8227443955698621,-25.06597340972674,4,42
135,0.0,0.6808879316163446,0.15951344911862794,0.05971366640899628,0.6979933399981482,-18.165871659757737,4,42
136,0.0,0.6424193141631265,0.0,9.769519263157395,0.21809848047539163,-29.11218158351767,4,42
137,0.0,0.0,0.3950931423121896,0.38830657261844986,0.8381105265052686,-28.273786467682466,4,42
138,0.0,0.7625150431300444,1.0,1.847972993199151,1.0,-28.53478179056631,4,42
