subject,gamma,gamma2,alpha,tau,w_prim,w_bound1,w_bound2,log_like
100,0.9954653982704545,0.9061377455605543,0.8482345238936836,2.0197395895904577,0.4716579526286773,0.31703352650537925,0.07780925949645778,-28.920246959770576
101,0.5200253048173176,0.44302721478666174,0.8435584658644384,0.328072737975427,0.963173807768795,0.27567813682303394,0.0,-26.672290707215765
102,0.0,0.5425165548697494,0.017044193429505663,0.06330752021529186,0.9997375848031179,0.0,0.0,-20.452548925182587
103,0.009668674534437205,0.37304737197488835,0.9885858753367756,0.0016036851085079462,0.8487694114506135,0.007323749313744521,0.3641714060411562,-22.356856565393095
104,0.0,0.6004690879022534,0.9978206680455138,0.0812358589924072,0.9367403128063068,0.05648646810742718,0.013454627068083206,-26.16956942299279
105,0.9553343022772546,0.7831883372366341,0.11320323240836512,0.0011325694200898368,0.002425590080221901,0.8139160272466736,0.9457298941496096,-18.108455966188473
106,0.6380200123029917,0.49313106570230103,0.1753669066015029,0.00031829952934580663,0.002193713041239664,0.0,0.9922667686991655,-21.098382055417574
107,0.03790881065228232,0.8662338649918643,0.5501563563763662,0.009300166014982729,0.0,0.20284075763858259,0.4910108999894886,-25.6279403124245
108,1.0,0.33329320211628477,0.9061261705853307,2.3747013538574313,0.681036153128635,0.0,0.0,-27.546926932862753
109,0.861387435545179,0.38332225933437736,0.03507231356854,0.09099530888360552,0.5840326620426469,0.9737265011737716,0.12818823044973796,-20.10513012051414
110,0.7718438155911732,0.25308990506749884,0.8128283319240495,0.41196034506015256,0.3242143087771775,0.20071345196510437,0.9983864321029464,-27.937966440162022
111,1.0,0.986435016654402,0.012163334962500362,0.1085013735517522,0.29345291773339766,0.7939880108648933,1.0,-27.768636194832
112,0.5027254248625309,0.7775309035718226,0.8226678781232604,0.5014538583865136,0.2708333135446167,0.7936160049816651,0.7375430402438743,-28.23147129164848
113,0.99706262787575,0.3709970208248237,0.4466918783341088,0.23653536887398482,0.764934651587306,0.0,0.04549359997751858,-23.555402722714888
114,1.0,0.3573178212777318,0.0028088688468693923,0.00020301350790102404,0.0,0.0,0.5039132379705654,-26.456049641734776
115,0.9335122502679777,0.2979318228791279,0.9967029536760533,0.985017088788758,0.9951281806220915,0.0,0.0,-26.26822526751567
116,0.004217231319307997,0.6949951907542519,0.8731902260384333,0.017714020297752073,0.927029444849381,0.005382874588500319,0.0,-24.774490516991854
117,0.027565378784598922,0.23932947811292204,0.1358002465087394,0.007406498990611868,0.0,0.026887779374536028,0.999999790791033,-27.50815527681261
119,1.0,0.5121745652403822,0.008417503921165076,0.006675822961370408,0.055954225814918254,0.14959383114472413,0.9939602854944036,-21.513889110581808
120,1.0,0.5929425105636716,0.2272032668918122,0.5970932816638482,1.0,0.0,0.1531337838258351,-26.859463729910356
121,0.9358029865841273,0.6752766071426832,0.009943166126058896,0.002236272160513453,0.011772711276143051,0.005461230969448647,1.0,-23.23921151258225
122,0.06481788203642977,0.2592071965779322,0.6786588890438696,3.650299676596124e-05,0.0006277118644110477,7.748588047723861e-05,0.8129337172701795,-18.91668846560106
123,0.9197811024748646,0.2803144655237505,1.0,1.3699063740764037,0.34882449402621946,1.0,0.0,-28.716519905436787
124,1.0,0.5281711493528715,0.08781915288818136,0.32169236069039775,0.8159037264086246,0.0,0.0,-25.232382509039777
125,0.982038429514893,0.19257400749906228,0.6764816308219358,0.19345631048470435,0.1769950930717027,0.0,0.9999999647512995,-25.901193138607404
126,0.6364809925204522,0.7293165390088909,0.44193411605087424,0.5300664492248709,0.0,1.0,0.0,-28.796190112112704
127,1.0,0.1497021326271799,0.14075896946006786,0.34748514957426524,0.3240660637800205,0.25922521082569,0.9557894374496908,-26.981103985461157
128,1.0,0.8356889705423686,0.007415873717684666,0.019232366995354248,0.028124127606118484,0.0,0.6517198651534589,-28.424468590879876
129,0.0,0.25791907861918373,1.0,0.056833940748208044,0.0,1.0,0.0,-27.72588726806102
130,0.9593351795079503,0.5151645669220093,0.017410363026189712,0.014317998239792731,0.12058854682954115,0.0,0.9878091162384315,-17.927856364886136
131,0.8797379421640837,0.9621351843593818,0.06911621463876326,0.05005577599532811,0.062203195718950874,0.9999998009319143,0.2089014043651358,-26.21619412610722
132,0.42486135414296117,0.2310197571095356,0.11757245290258604,0.04491835775012753,0.37470194376217747,0.0,0.8763038888514108,-24.99237986792433
133,1.0,0.7760370300879209,0.023974253231802817,0.04636247774839437,0.14233380169153892,0.8522866962329154,0.3235713202452845,-24.586510291190766
135,0.8684126931492415,0.49078500413413145,0.18465319924638576,0.00042253728968712716,0.0034509529206927436,0.5578700131910075,0.0024698342094969933,-15.688292043739144
136,0.4785878361552993,0.9579970563644327,0.43359852748992306,0.0392115393533679,0.0,0.04211153987244163,0.9543246805058732,-27.993936339643255
137,0.8894992961126678,0.2908671099636141,0.9498319308548421,0.8964080450222855,0.4090667155498242,0.9592382929594877,0.9024361597408371,-27.871593468773693
138,0.7864164235504405,0.7136572349631635,1.0,0.296828787958832,0.15304436345890537,0.0,0.9999541549393272,-28.34919462454619
