subject,gamma2,gamma,alpha,tau,w,log_like
100,0.9,1.0,1.0,4.102781685177206,0.21142585209829617,-27.87991195362582
101,0.9,0.99261232687406,0.7267676730951073,0.918481290274987,0.8205138922576467,-25.324310669973165
102,0.9,0.92429571131362,0.013363598502858367,0.08376093622922878,0.8146386396621855,-21.002799921357305
103,0.9,0.0,0.9984571904409979,0.0009454246230983223,0.6720516700696999,-24.43090034509457
104,0.9,0.0,1.0,0.3051816866643826,0.5468122491754497,-27.13096554761695
105,0.9,1.0,0.13356762360421756,0.3849293466685786,1.0,-23.354277409306565
106,0.9,0.8295764928431258,0.33355354147492133,0.21448562740848248,0.9811918920407776,-25.42703067622155
107,0.9,0.9597447213575983,1.0,2.865407803900158,1.0,-28.045078939408427
108,0.9,0.9897431002504946,0.5929153241517323,2.8826593930316937,1.0,-28.590902957958253
109,0.9,0.6560503415333875,0.032132110338287494,0.08888474205833334,0.763380136546103,-20.332573302916764
110,0.9,1.0,0.9285066071306388,1.4524734376488622,0.9999999763086598,-24.71861718839689
111,0.9,1.0,0.038729216999492264,0.6511284397423032,0.8872380009695358,-27.926191033679135
112,0.9,0.9945407301253797,0.5912965858513424,5.737383594522381,0.9869856085256231,-28.55968289871471
113,0.9,1.0,0.21389377944889296,0.27427836989718585,0.7495716566857606,-25.319775781835038
114,0.9,0.3728702016856398,0.8413500323834854,3.9965620623013116,0.0,-29.11218158351767
115,0.9,0.0,0.7683195828117052,0.7731389940177286,0.9704250597970733,-28.33400839506512
116,0.9,0.003795536369721362,0.4558053884844172,0.1659763549925636,0.8042125801462575,-25.804583771458095
117,0.9,0.0,0.7250077310123542,1.7112789431974138,0.8819644710751435,-29.010945401979743
119,0.9,1.0,0.12338558078314389,0.20296225182040561,0.5898049897029777,-23.226140961103326
120,0.9,1.0,0.6179729097371623,0.9153603454208438,0.45747692869890466,-27.660552269757517
121,0.9,0.6999421751190398,0.03782727391663488,0.15186104376929638,0.5341397704964923,-26.686745116627538
122,0.9,0.25233271215113207,0.8219644568967649,0.07411486027607905,0.5518833059916515,-23.708780162225892
123,0.9,0.8857405207031154,1.0,1.113208512112898,0.3703180256597765,-28.783775697597896
124,0.9,0.9998281555207181,6.685729535469694e-06,0.0001039093235626891,0.9995784120917437,-25.208799899779518
125,0.9,1.0,0.5409170731298063,2.429606077060526,0.9999998718705138,-27.981621494299624
126,0.9,0.9272761177903173,1.0,4.37487649459394,0.9999981312976176,-28.777298012947846
127,0.9,1.0,0.18595628466186784,1.0745651890748251,1.0,-27.199495042850977
128,0.9,1.0,0.8456179501599864,2.897617786468363,0.7615356130668439,-28.63791624950094
129,0.9,0.0,1.0,0.9102393866832604,1.0,-28.588933439753138
130,0.9,1.0,0.020323550586609382,0.15921481243391686,0.9253731704376689,-21.724389881593723
131,0.9,0.6651738149048108,0.07852382579698862,0.2871063608747137,0.7644207169236795,-27.64498832914395
132,0.9,0.0,0.07634000810813478,0.08369002286311315,0.8594349584398357,-25.606483419296243
133,0.9,1.0,0.13750135821522366,0.2148591722474821,0.4706005300623547,-25.065973409994374
135,0.9,0.6808925109039534,0.1595134967851366,0.05920185565126541,0.692005602655486,-18.165871659839322
136,0.9,0.9178532040467103,0.15425440503237747,5.858709853681826,0.0,-29.11218158351767
137,0.9,0.0,0.3950950213498446,0.4633108807026248,1.0,-28.273786467702223
138,0.9,0.7625153499957852,1.0,1.3226825260980495,0.7157669051601924,-28.53478179019101
