subject,gamma,alpha,tau,w_prim,w_bound1,w_bound2,log_like,k,n
100,1.0,0.9113993953101008,6.704224498816176,1.0,1.0,0.2947921768449748,-28.48942492145445,6,42
101,0.9939992884144754,0.6690740454224721,1.0235989506905911,1.0,0.4954151168014302,0.6425324752224147,-24.96616086993094,6,42
102,0.6252113268707613,0.0,0.49828774896622857,0.06731584999936378,0.19803871071805854,0.6546103199230826,-18.302686280818225,6,42
103,8.397349246791262e-05,0.9985915910591384,0.001407240286696685,0.9998097827409917,1.0,0.999027255235354,-24.040362091957608,6,42
104,0.0,1.0,0.5581087198016386,1.0,1.0,0.613148886174985,-26.7911674740425,6,42
105,1.0,0.16605688693356518,0.3715501099459256,1.0,0.6196366334189528,0.0,-20.327144444688766,6,42
106,0.6261999283934992,1.0,0.2934117749497678,0.7064945979104341,1.0,0.0,-19.50047210216963,6,42
107,0.0,0.08809358837427866,0.3107397625068341,1.0,1.0,0.0,-25.124222954802782,6,42
108,1.0,0.9145027547626536,2.996062884041231,0.7455778048498929,0.0,0.0,-27.625804210964347,6,42
109,0.0005637467871961433,1.0,0.001409159685333081,0.9974811155216443,0.49951501741833854,0.9999999177891852,-17.523153320551263,6,42
110,1.0,0.921857509416661,0.7292315098758184,1.0,0.3133144004345074,0.3346032874311098,-21.984076963425856,6,42
111,1.0,0.9971716415775094,1.4867122648778437,0.004012100060862751,1.0,1.0,-22.109312659326665,6,42
112,1.0,0.6686718349102474,2.2444058270563683,0.4167779179894602,1.0,0.0,-26.966163491300293,6,42
113,1.0,0.6604681199528032,0.611485319039866,0.8512266850186151,0.0,0.0,-22.77537597641575,6,42
114,0.9220072842792759,0.7532954401765396,3.0162801116561,1.0,0.0,0.0,-28.86543158182759,6,42
115,0.9352772079409608,0.9989778990541097,2.0364279218201222,1.0,1.0,0.18176593305882152,-28.006268838750874,6,42
116,0.012382024075992905,0.5289441341783468,0.1588039761761796,1.0,0.7414333286380586,1.0,-24.59047618091587,6,42
117,0.0,0.8830172021761528,0.9684929481073296,1.0,1.0,0.0,-27.925929346274025,6,42
119,0.35434951304010287,0.08145067291003888,0.12868509272531972,1.0,0.9988238131993198,0.0,-20.490260726547884,6,42
120,0.6336238041833341,1.0,2.052171958197782,0.0,1.0,1.0,-28.213109063061857,6,42
121,0.3633092283404255,0.0,0.05139362463898909,0.9564541722036376,1.0,0.016419586798538815,-22.484812174301815,6,42
122,0.0,0.549795134297201,0.11376819370111813,0.9468962756826796,0.7520840660796604,0.8161611417787501,-19.97566763824299,6,42
123,0.8991066451086186,1.0,2.280708247934298,0.5446178676397134,1.0,0.7868522192047073,-28.639653461507734,6,42
124,0.0,1.995164322026533e-07,8.433509810613528e-06,0.999994653415252,1.0,1.0,-25.431928514966597,6,42
125,1.0,0.7274315602796767,2.7721575473390603,1.0,0.0,1.0,-27.731996716463886,6,42
126,0.9602870320118629,0.981204505111404,3.814658281935683,1.0,0.39258564140609403,1.0,-28.75350012023839,6,42
127,0.9669993116064407,0.3118397943631485,0.6853755910188002,0.9175257685165553,0.5597765574222361,0.12231139036178146,-25.87159099999961,6,42
128,1.0,0.8775463380354309,2.6251731445948003,0.6193280627831296,1.0,0.2165881274281355,-28.490803535869155,6,42
129,0.0,1.0,0.9102392048275073,1.0,1.0,1.0,-28.588933439753145,6,42
130,0.39034266663965844,1.5847940320086667e-05,0.0014131483796002997,0.9979815995745646,1.0,0.00024117070441759164,-17.647663803482732,6,42
131,0.0,0.10531115762290137,0.25793058782303124,0.9797946044214471,0.7579009040751356,0.5864338552541514,-25.908021763519436,6,42
132,0.0,0.075707904573701,0.09511853620852175,1.0,1.0,0.8405943934803044,-24.0032315615334,6,42
133,0.9972013684134893,0.28048817187242514,0.5131012667453458,0.6895228465188833,0.32310666376831076,0.7264152827644158,-23.437179726731173,6,42
135,0.07904097227697292,0.45623384003240647,0.055942534798347696,0.9333257310019151,0.6964294654857579,0.914400810338861,-14.815217051538319,6,42
136,0.3786092303601593,0.0,1.442700699478411,1.0,1.0,0.0,-28.772383509931824,6,42
137,0.0,0.3368225363074474,0.28014666245005987,1.0,1.0,0.0,-23.955112640714148,6,42
138,0.999600737927593,0.9790162112996509,5.7219303262411,1.0,0.0,0.0,-27.273818778860228,6,42
