SubjNum	 run	 trial	 seqtype	 objnum	 file	 orientnam	 orientnum	 resp	 respnum	 acc	 rt
100	 1	 97	 1	 6	 object_18.jpg	 rot	 0	 c	 1	 0	 0.645076
100	 1	 98	 1	 5	 object_30.jpg	 cor	 1	 c	 1	 1	 0.565166
100	 1	 99	 1	 6	 object_18.jpg	 rot	 0	 n	 2	 1	 0.565696
100	 1	 100	 1	 9	 object_35.jpg	 cor	 1	 c	 1	 1	 0.825199
100	 1	 101	 1	 10	 object_2.jpg	 cor	 1	 NaN	 0	 0	 NaN
100	 1	 102	 1	 7	 object_17.jpg	 cor	 1	 c	 1	 1	 0.908191
100	 1	 103	 1	 5	 object_30.jpg	 cor	 1	 c	 1	 1	 0.622284
100	 1	 104	 1	 8	 object_24.jpg	 cor	 1	 c	 1	 1	 0.855781
100	 1	 105	 1	 10	 object_2.jpg	 cor	 1	 c	 1	 1	 0.825949
100	 1	 106	 1	 9	 object_35.jpg	 cor	 1	 NaN	 0	 0	 NaN
100	 1	 107	 1	 5	 object_30.jpg	 cor	 1	 c	 1	 1	 0.606409
100	 1	 108	 2	 15	 object_9.jpg	 cor	 1	 c	 1	 1	 0.770712
100	 1	 109	 2	 17	 object_34.jpg	 cor	 1	 c	 1	 1	 0.544015
100	 1	 110	 2	 2	 object_23.jpg	 cor	 1	 c	 1	 1	 0.610148
100	 1	 111	 2	 20	 object_16.jpg	 cor	 1	 c	 1	 1	 0.600663
100	 1	 112	 2	 18	 object_10.jpg	 cor	 1	 c	 1	 1	 0.856554
100	 1	 113	 2	 8	 object_24.jpg	 cor	 1	 c	 1	 1	 0.982642
100	 1	 114	 2	 14	 object_13.jpg	 cor	 1	 c	 1	 1	 0.818987
100	 1	 115	 2	 11	 object_3.jpg	 cor	 1	 c	 1	 1	 0.753135
100	 1	 116	 2	 19	 object_4.jpg	 cor	 1	 c	 1	 1	 0.854790
100	 1	 117	 2	 7	 object_17.jpg	 cor	 1	 c	 1	 1	 0.886298
100	 1	 118	 2	 5	 object_30.jpg	 cor	 1	 c	 1	 1	 0.630854
100	 1	 119	 2	 4	 object_12.jpg	 cor	 1	 NaN	 0	 0	 NaN
100	 1	 120	 2	 6	 object_18.jpg	 cor	 1	 c	 1	 1	 0.711379
100	 1	 121	 2	 3	 object_7.jpg	 cor	 1	 c	 1	 1	 0.610518
100	 1	 122	 2	 12	 object_36.jpg	 cor	 1	 NaN	 0	 0	 NaN
100	 1	 123	 2	 16	 object_28.jpg	 cor	 1	 c	 1	 1	 0.720198
100	 1	 124	 2	 13	 object_1.jpg	 cor	 1	 c	 1	 1	 0.606283
100	 1	 125	 2	 21	 object_25.jpg	 cor	 1	 c	 1	 1	 0.715282
100	 1	 126	 2	 9	 object_35.jpg	 cor	 1	 NaN	 0	 0	 NaN
100	 1	 127	 2	 10	 object_2.jpg	 cor	 1	 c	 1	 1	 0.670291
100	 1	 128	 2	 1	 object_6.jpg	 cor	 1	 c	 1	 1	 0.558798
100	 1	 129	 1	 3	 object_7.jpg	 cor	 1	 c	 1	 1	 0.689618
100	 1	 130	 1	 19	 object_4.jpg	 cor	 1	 c	 1	 1	 0.601035
100	 1	 131	 1	 21	 object_25.jpg	 cor	 1	 NaN	 0	 0	 NaN
100	 1	 132	 1	 3	 object_7.jpg	 cor	 1	 c	 1	 1	 0.866859
100	 1	 133	 1	 20	 object_16.jpg	 cor	 1	 NaN	 0	 0	 NaN
100	 1	 134	 1	 2	 object_23.jpg	 cor	 1	 c	 1	 1	 0.595960
