SubjNum	 run	 trial	 objnum	 file	 orientnam	 orientnum	 resp	 respnum	 acc	 rt
100	 2	 1	 21	 object_25.jpg	 cor	 1	 n	 2	 0	 0.013976
100	 2	 2	 2	 object_23.jpg	 rot	 0	 n	 2	 1	 1.092417
100	 2	 3	 20	 object_16.jpg	 cor	 1	 c	 1	 1	 0.650252
100	 2	 4	 3	 object_7.jpg	 cor	 1	 c	 1	 1	 0.563281
100	 2	 5	 2	 object_23.jpg	 cor	 1	 c	 1	 1	 0.467968
100	 2	 6	 19	 object_4.jpg	 cor	 1	 c	 1	 1	 0.472406
100	 2	 7	 1	 object_6.jpg	 cor	 1	 c	 1	 1	 0.510782
100	 2	 8	 21	 object_25.jpg	 cor	 1	 c	 1	 1	 0.637085
100	 2	 9	 1	 object_6.jpg	 rot	 0	 c	 1	 0	 0.494162
100	 2	 10	 21	 object_25.jpg	 rot	 0	 n	 2	 1	 0.948051
100	 2	 11	 19	 object_4.jpg	 cor	 1	 c	 1	 1	 0.611719
100	 2	 12	 21	 object_25.jpg	 rot	 0	 n	 2	 1	 0.643189
100	 2	 13	 19	 object_4.jpg	 rot	 0	 n	 2	 1	 0.760594
100	 2	 14	 21	 object_25.jpg	 rot	 0	 n	 2	 1	 0.585962
100	 2	 15	 19	 object_4.jpg	 rot	 0	 n	 2	 1	 0.510919
100	 2	 16	 1	 object_6.jpg	 cor	 1	 c	 1	 1	 0.615088
100	 2	 17	 2	 object_23.jpg	 cor	 1	 c	 1	 1	 0.557651
100	 2	 18	 3	 object_7.jpg	 cor	 1	 c	 1	 1	 0.548763
100	 2	 19	 20	 object_16.jpg	 cor	 1	 c	 1	 1	 0.667582
100	 2	 20	 18	 object_10.jpg	 cor	 1	 c	 1	 1	 0.617880
100	 2	 21	 19	 object_4.jpg	 cor	 1	 c	 1	 1	 0.504838
100	 2	 22	 1	 object_6.jpg	 cor	 1	 c	 1	 1	 0.575512
100	 2	 23	 21	 object_25.jpg	 cor	 1	 c	 1	 1	 0.543462
100	 2	 24	 2	 object_23.jpg	 cor	 1	 c	 1	 1	 0.500997
100	 2	 25	 3	 object_7.jpg	 cor	 1	 c	 1	 1	 0.477306
100	 2	 26	 2	 object_23.jpg	 rot	 0	 n	 2	 1	 0.571174
100	 2	 27	 18	 object_10.jpg	 cor	 1	 c	 1	 1	 0.500596
100	 2	 28	 20	 object_16.jpg	 cor	 1	 c	 1	 1	 0.513572
100	 2	 29	 3	 object_7.jpg	 cor	 1	 c	 1	 1	 0.456555
100	 2	 30	 2	 object_23.jpg	 cor	 1	 c	 1	 1	 0.553423
100	 2	 31	 19	 object_4.jpg	 cor	 1	 c	 1	 1	 0.519138
100	 2	 32	 21	 object_25.jpg	 cor	 1	 c	 1	 1	 0.630516
100	 2	 33	 19	 object_4.jpg	 rot	 0	 n	 2	 1	 0.630228
100	 2	 34	 20	 object_16.jpg	 cor	 1	 c	 1	 1	 0.541398
100	 2	 35	 3	 object_7.jpg	 cor	 1	 c	 1	 1	 0.484588
100	 2	 36	 4	 object_12.jpg	 cor	 1	 c	 1	 1	 0.515257
100	 2	 37	 3	 object_7.jpg	 rot	 0	 n	 2	 1	 0.665315
100	 2	 38	 4	 object_12.jpg	 rot	 0	 n	 2	 1	 0.608894
100	 2	 39	 7	 object_17.jpg	 cor	 1	 c	 1	 1	 0.759742
100	 2	 40	 10	 object_2.jpg	 cor	 1	 c	 1	 1	 0.645313
100	 2	 41	 8	 object_24.jpg	 cor	 1	 c	 1	 1	 0.636601
100	 2	 42	 4	 object_12.jpg	 cor	 1	 c	 1	 1	 0.525425
100	 2	 43	 6	 object_18.jpg	 cor	 1	 c	 1	 1	 0.474576
100	 2	 44	 8	 object_24.jpg	 cor	 1	 c	 1	 1	 0.443333
100	 2	 45	 5	 object_30.jpg	 cor	 1	 c	 1	 1	 0.570250
100	 2	 46	 9	 object_35.jpg	 cor	 1	 c	 1	 1	 0.584580
100	 2	 47	 6	 object_18.jpg	 cor	 1	 c	 1	 1	 0.455121
100	 2	 48	 4	 object_12.jpg	 cor	 1	 c	 1	 1	 0.446600
100	 2	 49	 5	 object_30.jpg	 cor	 1	 c	 1	 1	 0.485495
100	 2	 50	 7	 object_17.jpg	 cor	 1	 c	 1	 1	 0.499380
100	 2	 51	 8	 object_24.jpg	 cor	 1	 c	 1	 1	 0.484175
100	 2	 52	 9	 object_35.jpg	 cor	 1	 c	 1	 1	 0.493008
100	 2	 53	 5	 object_30.jpg	 cor	 1	 c	 1	 1	 0.449497
100	 2	 54	 7	 object_17.jpg	 cor	 1	 c	 1	 1	 0.482199
100	 2	 55	 8	 object_24.jpg	 cor	 1	 c	 1	 1	 0.456676
100	 2	 56	 4	 object_12.jpg	 cor	 1	 c	 1	 1	 0.430799
100	 2	 57	 6	 object_18.jpg	 cor	 1	 c	 1	 1	 0.405322
100	 2	 58	 5	 object_30.jpg	 cor	 1	 c	 1	 1	 0.437404
100	 2	 59	 6	 object_18.jpg	 rot	 0	 n	 2	 1	 0.731539
100	 2	 60	 7	 object_17.jpg	 cor	 1	 c	 1	 1	 0.675524
100	 2	 61	 9	 object_35.jpg	 cor	 1	 c	 1	 1	 0.761126
100	 2	 62	 10	 object_2.jpg	 cor	 1	 c	 1	 1	 0.617987
100	 2	 63	 8	 object_24.jpg	 cor	 1	 c	 1	 1	 0.536780
100	 2	 64	 10	 object_2.jpg	 rot	 0	 c	 1	 0	 0.462359
100	 2	 65	 11	 object_3.jpg	 cor	 1	 c	 1	 1	 0.901901
100	 2	 66	 15	 object_9.jpg	 cor	 1	 c	 1	 1	 0.741480
100	 2	 67	 16	 object_28.jpg	 cor	 1	 c	 1	 1	 0.765047
100	 2	 68	 15	 object_9.jpg	 rot	 0	 n	 2	 1	 0.836092
100	 2	 69	 17	 object_34.jpg	 cor	 1	 c	 1	 1	 0.682074
100	 2	 70	 14	 object_13.jpg	 cor	 1	 c	 1	 1	 0.609402
100	 2	 71	 17	 object_34.jpg	 rot	 0	 n	 2	 1	 0.758501
100	 2	 72	 18	 object_10.jpg	 cor	 1	 c	 1	 1	 0.607977
100	 2	 73	 21	 object_25.jpg	 cor	 1	 c	 1	 1	 0.742467
100	 2	 74	 18	 object_10.jpg	 rot	 0	 n	 2	 1	 0.798029
100	 2	 75	 1	 object_6.jpg	 cor	 1	 c	 1	 1	 0.676650
100	 2	 76	 19	 object_4.jpg	 cor	 1	 c	 1	 1	 0.579118
100	 2	 77	 21	 object_25.jpg	 cor	 1	 c	 1	 1	 0.610866
100	 2	 78	 2	 object_23.jpg	 cor	 1	 c	 1	 1	 0.561503
100	 2	 79	 3	 object_7.jpg	 cor	 1	 c	 1	 1	 0.535368
100	 2	 80	 19	 object_4.jpg	 cor	 1	 c	 1	 1	 0.552008
100	 2	 81	 3	 object_7.jpg	 rot	 0	 n	 2	 1	 0.637667
100	 2	 82	 1	 object_6.jpg	 cor	 1	 c	 1	 1	 0.574136
100	 2	 83	 21	 object_25.jpg	 cor	 1	 c	 1	 1	 0.762656
100	 2	 84	 18	 object_10.jpg	 cor	 1	 c	 1	 1	 0.609777
100	 2	 85	 17	 object_34.jpg	 cor	 1	 c	 1	 1	 0.608426
100	 2	 86	 12	 object_36.jpg	 cor	 1	 n	 2	 0	 0.818386
100	 2	 87	 11	 object_3.jpg	 cor	 1	 c	 1	 1	 0.871004
100	 2	 88	 16	 object_28.jpg	 cor	 1	 c	 1	 1	 0.877990
100	 2	 89	 15	 object_9.jpg	 cor	 1	 c	 1	 1	 0.694752
100	 2	 90	 13	 object_1.jpg	 cor	 1	 c	 1	 1	 0.662069
100	 2	 91	 16	 object_28.jpg	 cor	 1	 c	 1	 1	 0.524841
100	 2	 92	 15	 object_9.jpg	 cor	 1	 c	 1	 1	 0.483405
100	 2	 93	 17	 object_34.jpg	 cor	 1	 c	 1	 1	 0.490497
100	 2	 94	 13	 object_1.jpg	 cor	 1	 c	 1	 1	 0.521172
100	 2	 95	 12	 object_36.jpg	 cor	 1	 c	 1	 1	 0.826140
100	 2	 96	 15	 object_9.jpg	 cor	 1	 c	 1	 1	 0.752084
100	 2	 97	 17	 object_34.jpg	 cor	 1	 c	 1	 1	 0.575077
100	 2	 98	 16	 object_28.jpg	 cor	 1	 c	 1	 1	 0.581899
