SubjNum	 run	 trial	 objnum	 file	 orientnam	 orientnum	 resp	 respnum	 acc	 rt
100	 4	 142	 19	 object_4.jpg	 cor	 1	 c	 1	 1	 0.650309
100	 4	 143	 20	 object_16.jpg	 rot	 0	 n	 2	 1	 0.871616
100	 4	 144	 21	 object_25.jpg	 cor	 1	 c	 1	 1	 0.613097
100	 4	 145	 2	 object_23.jpg	 cor	 1	 c	 1	 1	 0.774263
100	 4	 146	 1	 object_6.jpg	 cor	 1	 c	 1	 1	 0.650249
100	 4	 147	 18	 object_10.jpg	 cor	 1	 c	 1	 1	 0.861084
100	 4	 148	 21	 object_25.jpg	 cor	 1	 c	 1	 1	 1.041330
100	 4	 149	 1	 object_6.jpg	 cor	 1	 c	 1	 1	 0.739732
100	 4	 150	 20	 object_16.jpg	 cor	 1	 c	 1	 1	 0.643438
100	 4	 151	 19	 object_4.jpg	 cor	 1	 c	 1	 1	 0.639041
100	 4	 152	 2	 object_23.jpg	 cor	 1	 c	 1	 1	 0.551864
100	 4	 153	 1	 object_6.jpg	 cor	 1	 c	 1	 1	 0.520809
100	 4	 154	 19	 object_4.jpg	 cor	 1	 c	 1	 1	 0.562409
100	 4	 155	 21	 object_25.jpg	 cor	 1	 c	 1	 1	 0.644137
100	 4	 156	 18	 object_10.jpg	 cor	 1	 c	 1	 1	 0.647469
100	 4	 157	 1	 object_6.jpg	 cor	 1	 c	 1	 1	 0.556025
100	 4	 158	 18	 object_10.jpg	 rot	 0	 c	 1	 0	 0.468293
100	 4	 159	 2	 object_23.jpg	 cor	 1	 c	 1	 1	 0.523804
100	 4	 160	 19	 object_4.jpg	 cor	 1	 c	 1	 1	 0.508991
100	 4	 161	 3	 object_7.jpg	 cor	 1	 c	 1	 1	 0.645069
100	 4	 162	 1	 object_6.jpg	 cor	 1	 c	 1	 1	 0.555978
100	 4	 163	 20	 object_16.jpg	 cor	 1	 c	 1	 1	 0.570422
100	 4	 164	 1	 object_6.jpg	 rot	 0	 c	 1	 0	 0.648478
100	 4	 165	 19	 object_4.jpg	 cor	 1	 c	 1	 1	 0.482073
100	 4	 166	 21	 object_25.jpg	 cor	 1	 c	 1	 1	 0.874085
100	 4	 167	 20	 object_16.jpg	 cor	 1	 c	 1	 1	 0.565465
100	 4	 168	 21	 object_25.jpg	 rot	 0	 n	 2	 1	 0.725237
100	 4	 169	 20	 object_16.jpg	 rot	 0	 n	 2	 1	 0.677451
100	 4	 170	 2	 object_23.jpg	 cor	 1	 c	 1	 1	 0.742629
100	 4	 171	 3	 object_7.jpg	 cor	 1	 c	 1	 1	 0.737033
