SubjNum	 run	 trial	 seqtype	 objnum	 file	 orientnam	 orientnum	 resp	 respnum	 acc	 rt
100	 5	 1	 NaN	 NaN	 NaN	 NaN	 NaN	 NaN	 NaN	 NaN	 NaN
100	 5	 2	 NaN	 NaN	 NaN	 NaN	 NaN	 NaN	 NaN	 NaN	 NaN
100	 5	 3	 1	 7	 object_17.jpg	 cor	 1	 c	 1	 1	 0.626804
100	 5	 4	 1	 5	 object_30.jpg	 cor	 1	 c	 1	 1	 0.548749
100	 5	 5	 1	 8	 object_24.jpg	 cor	 1	 c	 1	 1	 0.533822
100	 5	 6	 1	 7	 object_17.jpg	 cor	 1	 c	 1	 1	 0.500127
100	 5	 7	 1	 8	 object_24.jpg	 rot	 0	 n	 2	 1	 0.690406
100	 5	 8	 1	 7	 object_17.jpg	 rot	 0	 n	 2	 1	 0.677164
100	 5	 9	 1	 6	 object_18.jpg	 cor	 1	 c	 1	 1	 0.563235
100	 5	 10	 1	 10	 object_2.jpg	 cor	 1	 c	 1	 1	 0.542417
100	 5	 11	 1	 5	 object_30.jpg	 cor	 1	 c	 1	 1	 0.558224
100	 5	 12	 1	 7	 object_17.jpg	 cor	 1	 c	 1	 1	 0.570863
100	 5	 13	 1	 10	 object_2.jpg	 cor	 1	 c	 1	 1	 0.591017
100	 5	 14	 1	 8	 object_24.jpg	 cor	 1	 c	 1	 1	 0.553652
100	 5	 15	 1	 6	 object_18.jpg	 cor	 1	 c	 1	 1	 0.493675
100	 5	 16	 1	 8	 object_24.jpg	 rot	 0	 n	 2	 1	 0.767380
100	 5	 17	 1	 9	 object_35.jpg	 cor	 1	 c	 1	 1	 0.565814
100	 5	 18	 1	 7	 object_17.jpg	 cor	 1	 c	 1	 1	 0.626989
100	 5	 19	 1	 4	 object_12.jpg	 cor	 1	 c	 1	 1	 0.649618
100	 5	 20	 1	 8	 object_24.jpg	 cor	 1	 c	 1	 1	 0.583390
100	 5	 21	 1	 5	 object_30.jpg	 cor	 1	 c	 1	 1	 0.673620
100	 5	 22	 1	 10	 object_2.jpg	 cor	 1	 c	 1	 1	 0.635861
100	 5	 23	 1	 8	 object_24.jpg	 cor	 1	 c	 1	 1	 0.565941
100	 5	 24	 1	 10	 object_2.jpg	 rot	 0	 n	 2	 1	 0.689098
100	 5	 25	 1	 11	 object_3.jpg	 cor	 1	 c	 1	 1	 0.645472
100	 5	 26	 1	 13	 object_1.jpg	 cor	 1	 c	 1	 1	 0.613223
100	 5	 27	 1	 14	 object_13.jpg	 cor	 1	 c	 1	 1	 0.603745
100	 5	 28	 1	 11	 object_3.jpg	 cor	 1	 c	 1	 1	 0.881957
100	 5	 29	 1	 10	 object_2.jpg	 cor	 1	 c	 1	 1	 0.623343
100	 5	 30	 1	 7	 object_17.jpg	 cor	 1	 c	 1	 1	 0.633280
100	 5	 31	 1	 6	 object_18.jpg	 cor	 1	 c	 1	 1	 0.524424
100	 5	 32	 1	 9	 object_35.jpg	 cor	 1	 c	 1	 1	 0.601325
100	 5	 33	 1	 7	 object_17.jpg	 cor	 1	 c	 1	 1	 0.590922
100	 5	 34	 1	 10	 object_2.jpg	 cor	 1	 c	 1	 1	 0.535764
100	 5	 35	 1	 8	 object_24.jpg	 cor	 1	 c	 1	 1	 0.562165
100	 5	 36	 1	 7	 object_17.jpg	 cor	 1	 c	 1	 1	 0.575266
100	 5	 37	 1	 5	 object_30.jpg	 cor	 1	 c	 1	 1	 0.627912
100	 5	 38	 1	 7	 object_17.jpg	 rot	 0	 n	 2	 1	 0.737716
100	 5	 39	 1	 6	 object_18.jpg	 cor	 1	 c	 1	 1	 0.646509
100	 5	 40	 1	 5	 object_30.jpg	 cor	 1	 c	 1	 1	 0.622163
100	 5	 41	 1	 9	 object_35.jpg	 cor	 1	 c	 1	 1	 0.621637
100	 5	 42	 1	 4	 object_12.jpg	 cor	 1	 c	 1	 1	 0.677544
100	 5	 43	 1	 6	 object_18.jpg	 cor	 1	 c	 1	 1	 0.576133
100	 5	 44	 1	 4	 object_12.jpg	 rot	 0	 n	 2	 1	 0.680897
100	 5	 45	 2	 20	 object_16.jpg	 cor	 1	 c	 1	 1	 0.686856
100	 5	 46	 2	 7	 object_17.jpg	 cor	 1	 c	 1	 1	 0.997209
100	 5	 47	 2	 17	 object_34.jpg	 cor	 1	 c	 1	 1	 0.682502
100	 5	 48	 2	 3	 object_7.jpg	 cor	 1	 c	 1	 1	 0.643650
100	 5	 49	 2	 11	 object_3.jpg	 cor	 1	 c	 1	 1	 0.635964
100	 5	 50	 2	 18	 object_10.jpg	 cor	 1	 c	 1	 1	 0.736475
100	 5	 51	 2	 15	 object_9.jpg	 cor	 1	 c	 1	 1	 0.573320
100	 5	 52	 2	 21	 object_25.jpg	 cor	 1	 c	 1	 1	 0.681116
100	 5	 53	 2	 1	 object_6.jpg	 cor	 1	 c	 1	 1	 0.683386
100	 5	 54	 2	 6	 object_18.jpg	 cor	 1	 c	 1	 1	 0.559635
100	 5	 55	 2	 9	 object_35.jpg	 cor	 1	 c	 1	 1	 0.661365
100	 5	 56	 2	 16	 object_28.jpg	 cor	 1	 c	 1	 1	 0.789802
100	 5	 57	 2	 12	 object_36.jpg	 cor	 1	 c	 1	 1	 0.628833
100	 5	 58	 2	 8	 object_24.jpg	 cor	 1	 c	 1	 1	 0.562169
100	 5	 59	 2	 2	 object_23.jpg	 cor	 1	 c	 1	 1	 0.574159
100	 5	 60	 2	 13	 object_1.jpg	 cor	 1	 c	 1	 1	 0.572230
