SubjNum	 run	 trial	 seqtype	 objnum	 file	 orientnam	 orientnum	 resp	 respnum	 acc	 rt
100	 6	 1	 NaN	 NaN	 NaN	 NaN	 NaN	 NaN	 NaN	 NaN	 NaN
100	 6	 2	 NaN	 NaN	 NaN	 NaN	 NaN	 NaN	 NaN	 NaN	 NaN
100	 6	 3	 1	 20	 object_16.jpg	 cor	 1	 c	 1	 1	 0.614287
100	 6	 4	 1	 1	 object_6.jpg	 cor	 1	 c	 1	 1	 0.605152
100	 6	 5	 1	 3	 object_7.jpg	 cor	 1	 c	 1	 1	 0.676404
100	 6	 6	 1	 20	 object_16.jpg	 cor	 1	 c	 1	 1	 0.603418
100	 6	 7	 1	 1	 object_6.jpg	 cor	 1	 c	 1	 1	 0.569784
100	 6	 8	 1	 3	 object_7.jpg	 cor	 1	 c	 1	 1	 0.558524
100	 6	 9	 1	 4	 object_12.jpg	 cor	 1	 c	 1	 1	 0.546302
100	 6	 10	 1	 3	 object_7.jpg	 rot	 0	 n	 2	 1	 0.788519
100	 6	 11	 1	 2	 object_23.jpg	 cor	 1	 n	 2	 0	 0.790387
100	 6	 12	 1	 18	 object_10.jpg	 cor	 1	 c	 1	 1	 0.827335
100	 6	 13	 1	 2	 object_23.jpg	 rot	 0	 n	 2	 1	 0.795093
100	 6	 14	 1	 21	 object_25.jpg	 cor	 1	 c	 1	 1	 0.791110
100	 6	 15	 1	 1	 object_6.jpg	 cor	 1	 c	 1	 1	 0.615398
100	 6	 16	 1	 18	 object_10.jpg	 cor	 1	 c	 1	 1	 0.639369
100	 6	 17	 1	 1	 object_6.jpg	 rot	 0	 n	 2	 1	 0.809963
100	 6	 18	 1	 20	 object_16.jpg	 cor	 1	 c	 1	 1	 0.600824
100	 6	 19	 1	 19	 object_4.jpg	 cor	 1	 c	 1	 1	 0.595157
100	 6	 20	 1	 2	 object_23.jpg	 cor	 1	 c	 1	 1	 0.679607
100	 6	 21	 1	 18	 object_10.jpg	 cor	 1	 c	 1	 1	 0.572811
100	 6	 22	 1	 20	 object_16.jpg	 cor	 1	 c	 1	 1	 0.593929
100	 6	 23	 1	 2	 object_23.jpg	 cor	 1	 c	 1	 1	 0.631766
100	 6	 24	 2	 4	 object_12.jpg	 cor	 1	 c	 1	 1	 0.536454
