subject,w,gamma,alpha,tau,log_like
100,0,0.2285597443287467,0.23793650198684335,10.0,-29.564659723089974
101,0,0.4344765689616849,0.847508288712904,5.2492871886279975,-28.9214179893739
102,0,0.23395353267132224,0.7190236675662868,0.6213349476407031,-18.923570772384803
103,0,0.5041238479243888,0.9988842161879781,2.592968868859134,-28.34560149732865
104,0,0.24670258546656482,0.8647021801241981,10.0,-29.164659723089983
105,0,0.7565725289200517,0.3527054492500483,0.9651648796468164,-24.15167262808078
106,0,0.4658428478864621,0.6673757629392378,1.09135636270445,-25.127322720581095
107,0,0.5541171707068977,0.4228052953952858,3.4760747520099398,-28.68214039742801
108,0,0.9202152265960646,0.5383425560302297,5.222174756130505,-28.921417385696515
109,0,0.8257642868271707,0.5262343155524715,0.6911236723584049,-20.450333797513306
110,0,0.28275592403968564,0.21940123230905367,10.0,-29.364659723089975
111,0,0.4632318492401622,0.5963602011765625,2.059690151386909,-27.910194423528377
112,0,0.29040967772555937,0.7800040170446463,10.0,-29.06465972308998
113,0,0.4474375145930919,0.23544312908407083,1.2463442562739335,-25.986203251293745
114,0,0.36962509666876836,0.1625350271503626,10.0,-29.164659723089972
115,0,0.6029926908310351,0.4915503257869692,10.0,-29.56465972308998
116,0,0.4833763911534501,0.3803547129445742,3.4736004939922704,-28.6821406107165
117,0,0.9096326652767082,0.9679602776785857,10.0,-29.464659723089984
119,0,0.9234972699275958,0.8695125044545657,0.965165328840523,-24.15167262807985
120,0,0.3208999031580917,0.33563953037891775,10.0,-29.16465972308998
121,0,0.5846554114845116,0.32866179777681626,1.091356932789065,-25.127322720581006
122,0,0.6797072548689038,0.24445882135937302,0.8597335091778597,-23.052724148370164
123,0,0.24669860807471478,0.9850121777068279,5.233979060746555,-28.92141639745156
124,0,0.842467130265756,0.2353830265618062,3.476017688729042,-28.682140397481376
125,0,0.7615420119410193,0.3888406884812028,10.0,-29.56465972308998
126,0,0.47129434721356056,0.716942408832867,10.0,-29.264659723089984
127,0,0.9145881278378163,0.23724184282188948,1.701298982110651,-27.373775569252665
128,0,0.6572743635906362,0.29253693378372925,10.0,-29.164659723089983
129,0,0.3122832132515652,0.14334399901724887,10.0,-29.46465972308998
130,0,0.7877556339425112,0.8855647369335797,0.6911236312189535,-20.450333797513345
131,0,0.7511101460715742,0.2607258341876443,1.4426945513057483,-26.733595068382385
132,0,0.8224331265167781,0.6128740641204764,1.7012989866014334,-27.37377556925264
133,0,0.668861084779246,0.7212549695672995,1.0913572360579478,-25.127322720581788
135,0,0.8562852024428337,0.21299816082157697,0.6213349045351674,-18.923570772384828
136,0,0.9702923396367108,0.2741540731356268,10.0,-29.16465972308999
137,0,0.8098905577261712,0.1127570556800897,10.0,-29.06465972308998
138,0,0.2025977832307272,0.29655572885428566,10.0,-29.16465972308998
