subject,gamma,alpha,tau,w,log_like
100,1.0,1.0,10.0,0.5681142803213453,-28.075061470365302
101,0.992895204656139,0.7244117747518766,1.0783411966981513,0.9424636107176664,-25.312826306331452
102,0.9999724191401403,9.537031698861607e-08,6.1346892903966086e-06,0.9999912080536989,-18.8323503297167
103,0.0,0.9986320667510983,0.0014069622588936913,0.9998237470971426,-24.368301038074883
104,0.0,1.0,0.5581103110188896,1.0,-27.13096554761736
105,1.0,0.17290755985079118,0.45911513744589355,0.7805872924672244,-23.125939373891196
106,0.47273610338970457,1.0,0.3309481446902804,0.6800176954408595,-23.24750427270477
107,0.954039568621552,1.0,1.641791780567892,0.5808828255443418,-27.737371400076185
108,0.2405180963439782,1.0,1.4820856772927093,0.7909827691162832,-28.635986902880166
109,0.10246795220808917,1.0,0.3942114129755434,0.40658421974098835,-20.022305367860397
110,1.0,0.9285067715319154,1.45247417213527,1.0,-24.718617188395754
111,1.0,1.0,2.1671674858458143,0.11799432541895737,-26.6445489713245
112,0.9981564933696451,0.6105194605856925,4.675374220554018,0.6605033164840673,-28.534367902561872
113,1.0,0.49031204283066715,0.5831458402332247,0.6446602030955779,-24.97798446645075
114,0.0,0.442858767162075,10.0,0.5759094085853524,-29.149240157188085
115,0.9159148554398123,1.0,2.178409673527996,1.0,-28.26114082626136
116,0.0,0.46329711777212557,0.21046860381989782,0.9865741520227154,-25.788421835450237
117,0.0,0.9998525623830706,2.4645221697482333,1.0,-29.011504048417716
119,1.0,0.5602368932376622,0.5722621056960825,0.482969094063552,-22.91033017422403
120,0.0,0.779205022535556,0.9871626705374393,1.0,-28.858945684889136
121,0.3136028569414476,0.055813575106672744,1.0913566823147736,0.0,-25.127322720580803
122,0.7957338529607055,1.0,0.35077151484068797,0.6286975714423392,-20.644391918581732
123,0.8842479708104899,1.0,2.339581982390276,0.6765824669160556,-28.69107738754041
124,0.533650136869165,0.004836433846969301,0.2834446875075294,0.9910560102715474,-27.58257488047003
125,1.0,0.5409172228484411,2.429594955955226,1.0,-27.98162149426867
126,0.9272760853780508,1.0,4.374916818759099,1.0,-28.777298012964366
127,1.0,0.8121440482150188,1.1578332486525476,0.26408459600278267,-26.043885683061088
128,1.0,0.8456171895791672,3.8048374757048014,1.0,-28.637916250102805
129,0.9695147739209816,0.48334284974360675,3.5850633505601106,1.0,-28.979843691635967
130,0.853923182322732,0.6335098347494846,0.6911226292496488,0.0,-20.450333797529556
131,0.9079225307577393,1.0,0.7818196683341647,0.4500956943076161,-25.34651757810414
132,0.9664505409717263,0.8482699750674066,0.8820588811900557,0.5144715454514084,-26.402498223260803
133,1.0,0.3456505141352806,0.5908727901454304,0.5229326478793331,-23.693078568814023
135,0.30060802104943096,0.2965714881029244,0.10225770619230157,0.8647253167310379,-16.216796770186757
136,0.6830586390775907,0.0,8.876380166648255,0.9999807100303119,-29.112181583542494
137,0.0,0.3950930697386496,0.4633117105024772,1.0,-28.273786467682182
138,0.0,0.39280711044456534,0.8615627907493151,1.0,-28.759764732173608
