subject,gamma2,gamma,alpha,tau,w_prim,w_bound1,w_bound2,log_like
100,0.75,0.9723358737269271,0.07783486581910692,2.329711055971626,0.027552157721739468,0.0011098014558835745,0.9963105519922807,-29.03856540083554
101,0.75,0.9915213153341527,0.6766126523613941,0.710321507900199,0.8161481595228548,0.6187337614660564,0.0,-24.935172113050047
102,0.75,0.0,0.017044259938830287,0.06332403902878742,1.0,0.0,0.0,-20.45254892522648
103,0.75,0.006384368267579488,0.9823093836312237,0.0023165278238561626,0.7399675383473808,0.008545972755067743,0.29510196110149933,-22.47575513421261
104,0.75,0.0,1.0,0.05408958594985633,1.0,0.03749293086365828,0.6056880710106958,-26.169693861973716
105,0.75,0.9598848041151217,0.10403203658067495,0.0009070399588159711,0.0019259722428972288,0.6636822679434397,0.6482140433707532,-18.090355091046803
106,0.75,0.6568384980181531,0.18043174933441872,0.000576004090333759,0.0039011970426627044,0.0,0.5698148775108102,-21.096801953720874
107,0.75,0.05533927448283985,0.6911280751012253,0.013750419188035443,0.0,0.7753985466815367,0.9772004364835837,-25.892347880222996
108,0.75,1.0,0.906125768004443,2.1613689718953495,0.6198540772769005,0.0,0.0,-27.5469269328448
109,0.75,0.8612720385268301,0.03506851411328125,0.09282745217747665,0.5959102967434513,0.9932279174853443,0.130915606246852,-20.105130245052003
110,0.75,0.5789390835641441,0.9905346160265347,0.6873398228625547,0.8951534363843001,0.01886726708834824,0.7807446041149118,-28.156514495310212
111,0.75,0.9999980401736882,4.2886711429024824e-07,1.1939887495032954e-06,0.07117767045097007,0.7200598851283088,0.0,-27.315494137210926
112,0.75,0.06242277115967062,1.0,0.0014916253193014441,0.0012583471261308158,0.9996877840027464,0.9941334656796088,-27.028222688340346
113,0.75,0.9970626532304323,0.4469042831740413,0.2571427999691363,0.8313496335200017,0.0,0.04897286824548951,-23.555402009119003
114,0.75,0.922221588320091,0.7540964169120278,3.1095821399347714,0.9999488967246226,0.0,0.0,-29.03277120137504
115,0.75,0.0,0.8777933606739566,0.6221202141304575,0.9911386053186735,0.08477371251363894,0.3519866040003354,-28.105770807177578
116,0.75,0.00421672552082452,0.8731830391010713,0.013715259036190395,0.7177430929896,0.0041686474051580375,0.0,-24.77449051502052
117,0.75,0.027551854534410145,0.13581324427268382,0.00740128150366089,0.0,0.02686970893841403,0.9999999995425413,-27.508155268767975
119,0.75,1.0,0.008417167755010843,0.005100922495843171,0.042755401511776925,0.11430930433774422,0.7595062600064957,-21.51388911140982
120,0.75,1.0,0.979652226204694,1.8512315445550438,0.47072027972387964,0.0,0.9999999949572558,-25.988376808204734
121,0.75,0.5080916891237033,0.019177150495439218,0.00015811136612696295,0.0006917447352857891,0.0,0.9597064232454514,-23.01336282790146
122,0.75,0.04349562426738884,0.7049697328647495,5.7872574793400584e-05,0.0011336617702157766,0.00012234187724386995,0.9612871246543697,-18.85769956969432
123,0.75,0.9197806684105926,1.0,1.369912478139298,0.34882953030876906,1.0,0.0,-28.71651990539819
124,0.75,0.7053296580665224,4.188227141808536e-06,4.190128377107613e-05,0.605149076414212,0.7506752093588829,0.3163083016747566,-25.188308103389932
125,0.75,0.98203841509707,0.6764812515358445,0.19345616393610382,0.1769952888424498,0.0,1.0,-25.901193138609198
126,0.75,1.0,0.9744231400731965,0.657789650869119,0.0,0.0,1.0,-26.814108594796394
127,0.75,1.0,0.14075783807654912,0.36356236404910636,0.33905846441280124,0.2712175853967043,1.0,-26.981103985283074
128,0.75,1.0,0.9042349473182955,0.3889369775799723,0.04038271349299898,0.9996100370241862,0.14144754657444306,-27.387339252099547
129,0.75,0.0,1.0,0.053200295753222014,0.0,0.9536528124766058,0.2979942920222663,-27.725887255206967
130,0.75,0.9695141059490286,0.017091362938119758,0.012831929407894762,0.10875585929474527,0.0,0.8848262731989639,-17.927744356208844
131,0.75,0.8797356400013687,0.06911446863534805,0.050054941986089826,0.062201486805287566,1.0,0.2089045299124269,-26.21619412733205
132,0.75,0.42485430486822034,0.11757368856443612,0.04210269357157582,0.35121469770995306,0.0,0.8213154014175885,-24.99237986776398
133,0.75,1.0,0.023974418040876962,0.04254693665457498,0.13061875343839088,0.7821448134166098,0.2969399123869162,-24.58651029141036
135,0.75,0.8644514987424117,0.18299569662161788,0.0007307037331578765,0.005893697226916576,0.9829001432927171,0.004094109784577595,-15.59858497329213
136,0.75,0.4785923490378256,0.4335996382530804,0.04015152266527182,0.0,0.04311984275248145,0.9771889058751566,-27.993936339627638
137,0.75,0.9318074316067171,0.99788684379832,0.009437076512830022,0.0055902681439168305,0.008620473667368898,1.0,-23.51039714763963
138,0.75,0.9984867583963277,0.9769484086854171,4.899918547293817,1.0,0.0,0.0,-27.220649791684114
