subject,gamma2,gamma,alpha,tau,w_prim,w_bound1,w_bound2,log_like
100,0.0,1.0,1.0,2.5571337434266894,0.054801728870669836,0.4206289476827045,1.0,-25.912442960281666
101,0.0,1.0,0.9832363396427233,0.03647177809840829,0.004735870714453886,0.3781507427035552,0.0018514625345350119,-21.087583597814096
102,0.0,1.0,0.01055410744775766,0.0585791052275185,0.0,1.0,1.0,-20.660921436755388
103,0.0,0.9128521564942313,0.8041582323893339,0.12427132986353513,0.25273461711765927,0.0,0.0,-23.423158144594453
104,0.0,0.0,1.0,0.5581106718018847,0.3583640226050461,0.6648103760418048,0.7298352064446897,-27.130965547616952
105,0.0,1.0,0.07336176934402291,0.1398994398877652,0.05080099324378805,1.0,1.0,-22.470975833896492
106,0.0,1.0,0.035990465708434234,0.10296367798902961,0.009392552518101659,0.0459714579781917,1.0,-23.859845387817444
107,0.0,0.9600379605920316,1.0,2.0367024069815733,1.0,0.0,1.0,-27.4060816192672
108,0.0,1.0,0.9076281393985601,2.6875677963384477,0.7014859041827901,0.0,0.0,-27.68022917717832
109,0.0,0.8995260412383481,0.03394009223268411,0.08722279883331187,0.2429818785545563,1.0,0.0,-19.66555143775682
110,0.0,1.0,0.9252856998507317,1.1263410553916549,1.0,0.41475799017973736,0.5814558219083577,-24.43090096007594
111,0.0,1.0,0.03220452899437217,0.6431086743443859,1.0,0.5496344018108662,1.0,-27.918448937271158
112,0.0,2.0687246038589378e-05,1.0,0.7213551554801888,0.6407822132113593,0.40281869628870975,0.2575185989330967,-28.148457798617116
113,0.0,0.9989030017337159,0.3346025588010892,0.32668828884433293,1.0,0.0,0.44536786088347063,-24.376042868610412
114,0.0,0.2717994183150975,0.0,5.665930276884565,0.2909826597007086,0.47885303801253615,0.666319556088685,-29.112181583517692
115,0.0,0.0,0.768318098570813,0.7966964585425129,0.0,0.8933889532152781,0.7926444966991582,-28.33400839506277
116,0.0,0.19643313399405446,0.47860924616525,0.21616782798695433,1.0,0.0,0.0,-25.723096554004506
117,0.0,0.0,0.7250018256154506,1.9402723317885147,0.10821132805161222,0.502242457754571,0.032286489696071646,-29.010945401999326
119,0.0,1.0,0.05891883408541199,0.10363375651449717,0.031772090905121744,0.07960118254431628,1.0,-22.076070931970484
120,0.0,1.0,0.9820104298819109,0.7839246462483306,0.19277407474257602,0.0,0.4225885325518819,-25.57011519563361
121,0.0,1.0,0.03988873212539886,0.12934006339035778,0.0,0.05614921803198494,1.0,-25.23463030433485
122,0.0,0.5925926034354569,0.626010893846909,0.11864771777260397,0.02784082497712245,0.0,1.0,-23.035508221394434
123,0.0,0.8939326430296988,1.0,2.897478498307424,1.0,1.0,0.0,-28.745008579328697
124,0.0,0.3001953569369931,3.216383558980413e-07,5.081316487272422e-06,0.48467751131377357,0.18680424777483567,0.2706037172770517,-25.20890083837736
125,0.0,1.0,0.6058914715862358,1.195719411577817,0.5091645309927052,0.0,1.0,-27.333907204566863
126,0.0,0.9272757780060648,1.0,4.374865688575587,1.0,1.0,1.0,-28.77729801294321
127,0.0,1.0,0.20021317625331103,0.7423932786695893,0.5764928448268943,0.7183167592844812,1.0,-27.138163658680774
128,0.0,1.0,0.05191449203323024,0.3907478645776425,0.0,0.0,1.0,-28.328512067278687
129,0.0,0.0,1.0,0.9102396419768406,0.31058445072778956,0.13589084411346236,0.5376263245773191,-28.58893343975324
130,0.0,1.0,0.0414938089445159,0.22686496172774834,1.0,0.0,1.0,-20.338072620149234
131,0.0,1.0,0.0829375702013615,0.1935361245649332,0.0,1.0,0.1586634492432419,-26.106656719626336
132,0.0,0.7099550447309473,0.07042371645104781,0.09508412565856712,0.0,0.0,1.0,-24.72807018877147
133,0.0,1.0,0.12904200325688003,0.2633435369343193,0.42647718029362447,1.0,0.7689566310575435,-24.80763945978989
135,0.0,0.867138170539117,0.1539826269386834,0.06896247706481022,0.27160260436813144,1.0,0.421527287979289,-17.902801430511463
136,0.0,1.0,0.521375927161049,3.229711426429684,1.0,0.0,1.0,-28.92072692619782
137,0.0,1.0,0.11375381319934816,0.2574813087927433,0.0,0.0,1.0,-27.2392115711382
138,0.0,0.9990335231159361,0.9786005897245265,2.295216915898977,0.4390180281281975,0.0,0.0,-27.093681022951213
