subject,gamma2,gamma,alpha,tau,w,log_like
100,0.9,1.0,1.0,4.311796628651417,0.2221967401547905,-27.879911953625456
101,0.9,0.9926124152274758,0.7267725375138734,1.0001438349899103,0.893455417769067,-25.324310670206874
102,0.9,0.9160189623056013,0.013471226309006877,0.07056618791145051,0.685660508023182,-21.00274078499085
103,0.9,0.0,0.9982375931015087,0.0008101348961057253,0.5059087764286045,-24.431019039889094
104,0.9,0.0,1.0,0.4243031012785969,0.7602490055873535,-27.130965547616945
105,0.9,1.0,0.133567608319934,0.31872059744234893,0.8279980377068302,-23.35427740930759
106,0.9,0.8295762049084312,0.33355150022337404,0.20084688356458305,0.9188037561402551,-25.427030676275344
107,0.9,0.9597447043810127,1.0,2.865406285330355,1.0,-28.04507893940934
108,0.9,0.3026196021016714,1.0,1.4637347738513486,0.8613756831929931,-28.72778101324863
109,0.9,0.6560416790049494,0.03213200658585371,0.031497947736118775,0.27052159713564766,-20.33257330319761
110,0.9,1.0,0.9285066965608061,1.2050657401424618,0.8296617131159424,-24.71861718839475
111,0.9,1.0,0.038730609973843734,0.4812877540697804,0.6558092604250217,-27.926191033186704
112,0.9,0.994540973669835,0.5912933984351346,2.575599765178398,0.44307412754337305,-28.559682898763178
113,0.9,1.0,0.21389460609088842,0.34982545790290864,0.9560569235545969,-25.319775783838395
114,0.9,0.8460200176631518,0.7533796468217517,4.111610931294646,0.0,-29.11218158351767
115,0.9,0.0,0.7683160858873974,0.7868418880512484,0.9876349425188301,-28.334008395084112
116,0.9,0.0037995038747924916,0.45580570302971973,0.16060293358518962,0.7781768246365299,-25.804583771450677
117,0.9,0.0,0.725141867558571,1.9309164712106992,0.9950977052545328,-29.010945403763966
119,0.9,1.0,0.1233857893485401,0.24944338312178052,0.724878491026999,-23.226140961106402
120,0.9,1.0,0.9787906706470522,3.9640922724977594,0.8058141751771994,-27.065747249974226
121,0.9,0.6999196609367077,0.03782514559471754,0.2395253375794122,0.8424960000125461,-26.686745119360793
122,0.9,0.2523311318094089,0.821964256732931,0.1220600030620232,0.9089037967558293,-23.70878016222586
123,0.9,0.8857405667033632,1.0,2.756417229299404,0.9169437859217534,-28.78377569759813
124,0.9,0.007909699264133527,7.971632577793437e-07,1.1890264934519276e-05,0.9584605399310933,-25.208187262155967
125,0.9,1.0,0.5409174450830826,2.4183133226430895,0.9953560004113523,-27.981621494269554
126,0.9,0.9272756818269512,1.0,4.37484656372845,1.0,-28.777298012954144
127,0.9,1.0,0.18595857106693506,1.0744491721040235,0.9998831868916996,-27.199495042706985
128,0.9,0.0,0.057749125145768965,0.4190693196623155,0.9214130822985629,-28.708976019485448
129,0.9,0.0,1.0,0.3409833635769038,0.3746086745377657,-28.58893343975321
130,0.9,1.0,0.02032358320204002,0.13163174785619602,0.7650552218700931,-21.724389881582454
131,0.9,0.6651749093071464,0.07852384762561793,0.13437892937868925,0.35778355164889225,-27.644988329147115
132,0.9,0.0,0.07634087794801138,0.09731730012400061,0.9993866803159265,-25.606483419722835
133,0.9,1.0,0.13750166475049466,0.10018372423909079,0.2194319578544418,-25.065973409728187
135,0.9,0.6808928351573171,0.15951393919709383,0.04017610059867483,0.46961576305433494,-18.165871659906887
136,0.9,0.022015426262263875,0.046055067740509985,8.458273327227959,0.0,-29.11218158351767
137,0.9,0.0,0.3950927136745989,0.46312856043616857,0.9996055699876916,-28.27378646768237
138,0.9,0.0,0.3928067231955139,0.4832169386891468,0.5608656687741042,-28.759764732227207
