w,gamma,alpha,tau,log_like
0.0,0.10779710942640319,0.8695054134930257,10.0,-29.564659723089974
0.0,0.5855258802485134,0.02387549144135509,5.234194245340925,-28.921416397446315
0.0,0.49181760094920357,0.536091763030914,0.6213349038307048,-18.923570772384824
0.0,0.4525209300814917,0.8669433094014037,2.5929260160139718,-28.345601497265395
0.0,0.24745240235823862,0.9114817256160946,10.0,-29.164659723089983
0.0,0.9121703777527368,0.8108615004475332,0.9651657244343869,-24.151672628080632
0.0,0.7641094980602399,0.7038039092742465,1.7012981837056478,-54.747551138503376
0.0,0.5519566727847998,0.3287645440208701,5.234558636525108,-28.921416398901073
0.0,0.2912847828655746,0.7665865189765224,0.6911236527523571,-20.450333797513323
0.0,0.8919790147148384,0.24372489798690167,10.0,-29.364659723089975
0.0,0.41735964457790775,0.566343123514156,2.0597034450704323,-27.910194423511697
0.0,0.2565000435335403,0.16679193465736175,10.0,-29.06465972308998
0.0,0.39062442515749624,0.201424492223662,1.2463443642214236,-25.986203251293773
0.0,0.5764253800762746,0.6944985089636971,10.0,-29.164659723089972
0.0,0.6771207958328018,0.643721843493438,10.0,-29.56465972308998
0.0,0.9230489141755178,0.300400369074394,3.476000643515139,-28.68214039754182
0.0,0.2958742487305872,0.511550285945381,10.0,-29.464659723089984
0.0,0.4550194267173877,0.4931432015733833,0.9651648795728972,-24.151672628080775
0.0,0.30468709049400783,0.8087496204520372,10.0,-29.16465972308998
0.0,0.6718467393758024,0.02977490318382542,1.0913563920872202,-25.12732272058102
0.0,0.35659717950116904,0.023376203143481045,0.8597337401994045,-23.052724148369755
0.0,0.43090089808296983,0.9595839092329987,5.234553776074283,-28.921416398869578
0.0,0.17752348759093817,0.4113699181378686,3.4760828853749883,-28.68214039743906
0.0,0.9280472112121353,0.6945118908609542,10.0,-29.56465972308998
0.0,0.5765371072381785,0.7454322788825064,10.0,-29.264659723089984
0.0,0.9439655079760393,0.7898472810566455,1.701297503435997,-27.373775569251453
0.0,0.8473547379227088,0.5967975184611674,10.0,-29.164659723089983
0.0,0.9886657942755955,0.8416087768648659,10.0,-29.46465972308998
0.0,0.8283373139666641,0.6796631986312831,0.6911235488669293,-20.450333797513593
0.0,0.7291622988513238,0.5700215597891041,1.4426953654516113,-26.73359506838224
0.0,0.31492836028894,0.79950017401614,1.7012976942156004,-27.373775569251464
0.0,0.11926797213055712,0.3270355623646636,1.0913567327251055,-25.12732272058082
0.0,0.5545673188623392,0.43040144110981104,0.6213352077211552,-18.923570772386253
0.0,0.7551084820664823,0.9895831679468068,10.0,-29.16465972308999
0.0,0.03270606365508777,0.49023585790944213,10.0,-29.06465972308998
0.0,0.5318103952279201,0.9173430276805733,10.0,-29.16465972308998
