subject,gamma,alpha,tau,w_prim,w_bound1,w_bound2,log_like
100,1.0,1.0,5.841390617534036,0.17784895736890144,1.0,1.0,-26.799243649839468
101,0.9940128907883933,0.6691498525681422,1.0246777536988936,1.0,0.4948007454390808,0.641774290431958,-24.966159631402146
102,1.0,0.8851690067613407,0.5423321368368728,0.0,0.0,0.4394187525358135,-17.20890664842844
103,9.174319832005404e-05,0.9985973603494941,0.0014071764552165277,0.9998088272542047,1.0,0.9990248623900642,-24.040349441584457
104,0.0,1.0,0.5581106447251981,1.0,1.0,0.6131471572437608,-26.791167474026153
105,1.0,0.16605740595484386,0.37154959034671153,1.0,0.6196307893378662,0.0,-20.327144444659158
106,0.6262002167105791,1.0,0.29341169744725104,0.706495030290507,1.0,0.0,-19.50047210217054
107,0.8974546550521427,0.0,0.08948135782192468,0.988047185121069,1.0,0.1458824858959577,-24.88701161864834
108,1.0,0.9144996316333438,2.996023149776154,0.7456160389994444,0.0,0.0,-27.625804206591486
109,0.010260825507856952,1.0,0.02830337024464844,0.9496270604713697,0.4901879218324871,0.9999722830149504,-17.525770351739826
110,1.0,0.92185933262629,0.729267629284516,1.0,0.31328710799722004,0.3346119814840731,-21.984076950097446
111,1.0,0.9971717115763792,1.4867128086598596,0.004012161815872675,1.0,1.0,-22.10931265930972
112,1.0,0.6687277299645564,2.2444238559317373,0.4167643419374488,1.0,0.0,-26.966163500719766
113,1.0,0.6604702019435946,0.6114914084122043,0.8512284218101686,0.0,0.0,-22.775375976954635
114,0.48520461193777664,0.0,1.4427076675348036,1.0,1.0,0.0,-28.772383509951432
115,0.9352766191642335,0.9989783191751959,2.0364204263231436,1.0,1.0,0.18177260790845767,-28.006268838708024
116,0.012386771337149733,0.5289369516607278,0.15880318042790872,1.0,0.7414427647270058,1.0,-24.590476183000458
117,0.0,0.883046116060383,0.9685235160481473,1.0,1.0,0.0,-27.92592934533861
119,0.3543518719718942,0.0814518861167303,0.12868552319735377,1.0,0.9988267457567542,0.0,-20.490260726169392
120,1.0,0.9856635539278484,2.651076020381503,0.4660438054475389,0.05384985614364844,1.0,-26.4491915683963
121,0.5693988619150737,0.0,0.09207900195567412,0.9219723090181171,0.9999874651456437,0.06589328931950367,-22.485047907438833
122,0.0,0.5497964016516405,0.11376777484149316,0.9468967781233848,0.7520833913716368,0.8161625730878138,-19.975667638327188
123,0.8991518670143391,1.0,2.2816868476422174,0.5444078834453915,1.0,0.7856289984606314,-28.63965323022198
124,0.0,0.02333372178352713,0.9761012514435848,0.0,1.0,1.0,-25.63103965218123
125,1.0,0.7274315430373111,2.7721572987826986,1.0,0.0,1.0,-27.731996716463936
126,0.9602895091226589,0.981208633041432,3.815695062083878,1.0,0.39225722284074793,1.0,-28.753500171147103
127,0.9670025105603548,0.31184647346535677,0.6854121237226389,0.9175144986404113,0.5597290944180526,0.12230971688705478,-25.871591006164728
128,0.0,0.06872460721315145,0.45189560255165995,1.0,1.0,0.625180441595021,-28.408003515125348
129,0.0,1.0,0.9102459653001622,1.0,1.0,1.0,-28.58893343977795
130,0.994362855143473,1.2670692661517607e-05,0.0011362246858030967,0.9983760905410531,1.0,0.20262460886476713,-17.647335481122077
131,0.0,0.10531300728010612,0.25793279233036576,0.9797947230995407,0.7578965943132387,0.5864347162555842,-25.908021763075098
132,0.9633856982267602,0.8797854464298881,0.8353485002694796,0.6512233351728177,0.28468177068791234,0.0,-25.511688594603257
133,0.997205535946111,0.28043561175358456,0.5130856821846526,0.6896027417705876,0.32337432435571356,0.7261654362080776,-23.4371796904495
135,0.07904494070716651,0.45623182371503407,0.05594186796504971,0.933326816678722,0.6964318821769502,0.9144051477695857,-14.81521704942957
136,0.434715945528488,0.0,1.4427038568706425,1.0,1.0,0.0,-28.77238350993886
137,0.0,0.3368227415917812,0.2801465887850959,1.0,1.0,0.0,-23.95511264071294
138,0.9996008240794183,0.9790158022242148,5.721932861083819,1.0,0.0,0.0,-27.273818778954723
