gamma2,w,alpha,gamma,tau,log_like
0.5,1.0,0.9880050181879706,1.0,10.0,-28.307197423153376
0.5,1.0,0.7267672707594788,0.9926123251187834,1.1193978632838204,-25.32431066997032
0.5,1.0,0.01347096955541232,0.916031913457313,0.10291686217745606,-21.002740785738887
0.5,1.0,0.9311456449804725,0.011182285745760412,0.07013595474057244,-24.48943949791505
0.5,1.0,1.0,0.0,0.5581106695956416,-27.13096554761693
0.5,1.0,0.1335669013710368,1.0,0.38492857677659736,-23.354277409403664
0.5,1.0,0.05053998879976894,0.7577590007346766,0.5513319030819164,-55.84253961821507
0.5,1.0,0.5958143014669195,0.9902838621878647,2.968576107755548,-28.591034824758
0.5,1.0,0.032132087621806846,0.6560503809711257,0.11643575377969347,-20.33257330291726
0.5,1.0,0.9285064592000883,1.0,1.4524691597589545,-24.7186171884673
0.5,1.0,0.038731681111239126,1.0,0.7339055330847236,-27.92619103348468
0.5,1.0,1.0,2.2285675909435796e-05,0.7213474159921217,-28.148457798509845
0.5,1.0,0.21389421368781802,1.0,0.36591373340642397,-25.319775781824642
0.5,1.0,0.0,0.24771756224428418,9.913337857511161,-29.11218158351767
0.5,1.0,1.0,0.9159145419675111,2.1784192651031256,-28.261140826228846
0.5,1.0,0.45580633279069593,0.0037927758507147885,0.20638316594551512,-25.804583771520942
0.5,1.0,0.7247499466359362,0.0,1.9400105324712908,-29.01094540531755
0.5,1.0,0.1233854357446349,1.0,0.34411782724967516,-23.226140961106644
0.5,1.0,0.6179595171053173,1.0,2.000829477750668,-27.66055227011726
0.5,1.0,0.03782727093843933,0.6999418618843927,0.28430938314035986,-26.68674511662692
0.5,1.0,0.8219656413230698,0.2523302031357134,0.13429350161830098,-23.70878016223534
0.5,1.0,1.0,0.8857363549363896,3.0060347892117223,-28.783775698043037
0.5,1.0,0.06708872947435757,0.8830037751871278,1.2383259063233023,-28.131692338469357
0.5,1.0,0.5409164725052549,1.0,2.429589236599003,-27.981621494269163
0.5,1.0,1.0,0.9272746394656372,4.374835104473576,-28.777298013067707
0.5,1.0,0.1859590604518753,1.0,1.074574731619066,-27.199495042717963
0.5,1.0,0.057748198279626746,0.0,0.45481570982724645,-28.708976019471326
0.5,1.0,1.0,0.0,0.91023928646667,-28.58893343975313
0.5,1.0,0.020323547909363405,1.0,0.1720550718752296,-21.72438988158845
0.5,1.0,0.0785238142587207,0.6651737608240897,0.37558687981404754,-27.644988329143974
0.5,1.0,0.07634004245308973,0.0,0.09737788105024071,-25.60648341929839
0.5,1.0,0.13750161173058648,1.0,0.45655967685244037,-25.065973409726748
0.5,1.0,0.15951378770645577,0.6808903215244697,0.08555086315138631,-18.165871659753797
0.5,1.0,0.0,0.574053389953052,7.391236630749978,-29.11218158351767
0.5,1.0,0.3950928438613092,0.0,0.4633115267109875,-28.27378646768215
0.5,1.0,1.0,0.762515538300701,1.8479298671983606,-28.534781790191158
