gamma2,gamma,alpha,tau,w,log_like
0.5,0.0,0.3360105832067508,10.0,1.0,-29.174009632836448
0.5,0.9928950102954542,0.7244092644597171,1.078332315001913,0.9424677361292648,-25.31282630629361
0.5,5.633346235068296e-07,1.3285619285597336e-08,1.4724665032649792e-06,0.9999977786637809,-18.855091352085537
0.5,0.0,0.9986296585887694,0.0014070856574163854,0.999823911858924,-24.36830151985608
0.5,0.0,1.0,0.5581107153065378,1.0,-27.130965547616956
0.5,0.37722152056633795,0.1475695794039444,0.965165133810334,0.0,-24.15167262808003
0.5,0.0,0.3044540270790456,0.6180593836148925,0.6940348019225541,-54.44388897474127
0.5,1.0,0.6247671927637759,3.283665290454923,0.6309670207922194,-28.5590742590302
0.5,0.10246858296476943,1.0,0.39421152960134614,0.40658424281375805,-20.02230536786102
0.5,1.0,0.9285067199992856,1.4524756708702082,1.0,-24.71861718838491
0.5,1.0,0.8269859590163235,1.807030007302937,0.21110425094147323,-27.668916720518723
0.5,1.014216061985788e-06,1.0,0.7192102355880757,0.9926337014218136,-28.147945672048337
0.5,0.3383680836994103,0.15667553452804578,1.2463447602024544,0.0,-25.986203251294025
0.5,0.5595307318407768,0.0,9.581529679948954,0.9999928565934866,-29.112181583520613
0.5,0.9159144436648122,1.0,2.178414585555247,1.0,-28.261140826231607
0.5,0.0,0.4632975730866769,0.21046731295344767,0.9865741337198745,-25.788421835280054
0.5,0.0,1.0,2.466349810131826,1.0,-29.011504015799062
0.5,1.0,0.5602421765982543,0.5722628983321325,0.48296370013688356,-22.910330174269816
0.5,1.0,0.617972425188699,2.0008843198806123,1.0,-27.660552269759506
0.5,0.9535479974763973,0.2727418767897596,1.0913578037880802,0.0,-25.127322720584704
0.5,0.0018055197318372054,0.9997135574487735,0.0014087570305144897,0.9987626080866612,-20.768142466923607
0.5,0.8842468524359496,1.0,2.3396271074558723,0.6765803970524934,-28.691077387480806
0.5,0.9999771466588794,4.333478679539702e-07,7.750175050314739e-06,0.9999992983936717,-25.55828668949752
0.5,1.0,0.5409154171055528,2.4295804001166794,1.0,-27.981621494281907
0.5,0.9272758667650225,1.0,4.374905332484788,1.0,-28.777298012955054
0.5,1.0,0.8121380996993052,1.157846935141704,0.2640864128264388,-26.04388568263393
0.5,1.0,0.8456171269133284,3.805103616244224,1.0,-28.637916250063412
0.5,0.0,1.0,0.9102390468838826,1.0,-28.588933439753145
0.5,0.8307729357988815,0.0008962664151531399,0.07852584407276468,0.8913386315895725,-20.406679802611325
0.5,0.9079228742211186,1.0,0.7818197073843992,0.4500948533620425,-25.34651757810429
0.5,0.9664505889977444,0.8482703288457145,0.882062893138731,0.5144700739344249,-26.40249822328203
0.5,1.0,0.345651377134108,0.5908726525013324,0.5229308312448643,-23.69307856883301
0.5,0.30059855362722476,0.2965726960869225,0.10225732201501801,0.8647248503127833,-16.21679676993688
0.5,0.30831167337415843,0.0,8.576719696402796,0.9999956932000366,-29.11218158351904
0.5,0.9584736088964159,1.0,1.3315923024612129,0.8214538187923534,-26.161302268966104
0.5,0.7625155098360565,1.0,1.8479254781002037,1.0,-28.534781790189868
