subject,gamma,alpha,w,tau,log_like,k,n
100,0.0,0.0,0,8.218899240629066,-29.11218158351767,1,42
101,0.0,0.0,0,0.7852614976867383,-29.11218158351767,1,42
102,0.0,0.0,0,1.404398959809528,-29.11218158351767,1,42
103,0.0,0.0,0,4.5985851051574755,-29.11218158351767,1,42
104,0.0,0.0,0,5.332361336993276,-29.11218158351767,1,42
105,0.0,0.0,0,4.877583066868356,-29.11218158351767,1,42
106,0.0,0.0,0,1.8419889311327386,-29.11218158351767,1,42
107,0.0,0.0,0,2.1767079100836515,-29.11218158351767,1,42
108,0.0,0.0,0,0.8162498875731057,-29.11218158351767,1,42
109,0.0,0.0,0,2.098681567277091,-29.11218158351767,1,42
110,0.0,0.0,0,8.02830192552912,-29.11218158351767,1,42
111,0.0,0.0,0,6.843007992523946,-29.11218158351767,1,42
112,0.0,0.0,0,2.5466714290097467,-29.11218158351767,1,42
113,0.0,0.0,0,7.7338786422536865,-29.11218158351767,1,42
114,0.0,0.0,0,5.207715045268179,-29.11218158351767,1,42
115,0.0,0.0,0,8.530005131776008,-29.11218158351767,1,42
116,0.0,0.0,0,9.716600201751223,-29.11218158351767,1,42
117,0.0,0.0,0,3.07309873279522,-29.11218158351767,1,42
119,0.0,0.0,0,8.065423838496999,-29.11218158351767,1,42
120,0.0,0.0,0,0.6564908510013625,-29.11218158351767,1,42
121,0.0,0.0,0,5.498828886249915,-29.11218158351767,1,42
122,0.0,0.0,0,5.4894034972057595,-29.11218158351767,1,42
123,0.0,0.0,0,5.942757713928665,-29.11218158351767,1,42
124,0.0,0.0,0,2.450979699255882,-29.11218158351767,1,42
125,0.0,0.0,0,2.580018350196971,-29.11218158351767,1,42
126,0.0,0.0,0,2.0188094476243985,-29.11218158351767,1,42
127,0.0,0.0,0,4.51088009586009,-29.11218158351767,1,42
128,0.0,0.0,0,6.6499868937938,-29.11218158351767,1,42
129,0.0,0.0,0,5.935832575423565,-29.11218158351767,1,42
130,0.0,0.0,0,5.820318807107804,-29.11218158351767,1,42
131,0.0,0.0,0,5.186745401011006,-29.11218158351767,1,42
132,0.0,0.0,0,0.7861478529895258,-29.11218158351767,1,42
133,0.0,0.0,0,4.156190497177226,-29.11218158351767,1,42
135,0.0,0.0,0,2.3297444854891394,-29.11218158351767,1,42
136,0.0,0.0,0,4.250379155079445,-29.11218158351767,1,42
137,0.0,0.0,0,9.914421166519286,-29.11218158351767,1,42
138,0.0,0.0,0,5.001925506475709,-29.11218158351767,1,42
